NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
EL30,23797.22222222222,0,22825.0,27777.777777777777,0,209388.8888888889,0,158305.55555555556
EL41,30969.44444444444,0,29169.44444444444,0,0,188500.0,0,691858.3333333334
EL42,91652.77777777777,0,56627.777777777774,0,0,373111.11111111107,0,47333.33333333333
EL43,106258.33333333333,27777.777777777777,79036.11111111111,138888.88888888888,0,728055.5555555556,0,485149.99999999994
EL51,337097.2222222222,55555.555555555555,225747.22222222222,138888.88888888888,0,2586222.222222222,0,578019.4444444444
EL52,308380.55555555556,55555.555555555555,248347.2222222222,749999.9999999999,0,4731861.111111111,0,1064172.2222222222
EL53,147944.44444444444,27777.777777777777,124747.2222222222,27777.777777777777,0,973444.4444444444,0,574775.0
EL54,270811.1111111111,55555.555555555555,214430.55555555553,222222.22222222222,0,1720638.8888888888,0,71338.88888888889
EL61,239650.0,27777.777777777777,184472.22222222222,388888.8888888888,0,1048111.111111111,0,757447.2222222221
EL62,38613.88888888888,0,34263.88888888888,0,0,198138.8888888889,0,7177.777777777777
EL63,149925.0,27777.777777777777,124874.99999999999,83333.33333333333,0,1503777.7777777778,0,310591.6666666666
EL64,192213.88888888888,27777.777777777777,162516.66666666666,166666.66666666666,0,1369583.3333333335,0,252183.3333333333
EL65,284688.8888888888,55555.555555555555,227691.66666666666,83333.33333333333,0,1558277.7777777775,0,618397.2222222221
ES,0,0,0,0,9329830.555555554,0,467222.2222222222,0
ES11,2014711.111111111,305555.5555555555,519541.6666666666,1305555.5555555555,0,3722355.5555555555,0,98813.88888888888
ES12,776977.7777777776,138888.88888888888,197347.22222222222,194444.4444444444,0,864119.4444444445,0,182058.3333333333
ES13,320255.5555555555,55555.555555555555,90061.11111111111,333333.3333333333,0,449686.111111111,0,52047.22222222222
ES21,586549.9999999999,111111.11111111111,163180.55555555556,138888.88888888888,0,3010427.7777777775,0,125088.88888888889
ES22,958197.2222222222,138888.88888888888,242761.1111111111,611111.111111111,0,4947125.0,0,671658.3333333333
ES23,273169.44444444444,27777.777777777777,79655.55555555555,83333.33333333333,0,2173500.0,0,336958.3333333333
ES24,3148594.4444444445,472222.22222222213,783186.111111111,3944444.444444444,0,20523477.77777778,0,985536.111111111
ES30,334402.7777777777,27777.777777777777,76477.77777777777,833333.3333333333,0,2355041.6666666665,0,223205.55555555556
ES41,5360241.666666666,749999.9999999999,1269858.3333333333,5750000.0,0,49392330.55555555,0,6594805.555555554
ES42,2793636.111111111,416666.6666666666,747602.7777777778,5583333.333333332,0,21383691.666666664,0,5720741.666666666
ES43,1792638.8888888888,305555.5555555555,488183.3333333333,1666666.6666666665,0,5555711.11111111,0,1133875.0
ES51,3293047.222222222,499999.99999999994,866713.8888888888,3611111.111111111,0,7153166.666666665,0,1239350.0
ES52,1139424.9999999998,166666.66666666666,291580.5555555555,555555.5555555555,0,6777716.666666666,0,1127561.111111111
ES53,207258.3333333333,27777.777777777777,55630.555555555555,55555.555555555555,0,1104422.2222222222,0,244305.55555555556
ES61,3603986.111111111,666666.6666666666,1106052.7777777778,3333333.333333333,0,24769488.888888888,0,5762597.222222222
ES62,265588.8888888889,27777.777777777777,77311.11111111111,1388888.8888888888,0,6855300.0,0,652269.4444444444
ES70,0,0,0,0,0,3025.0,0,0
FI,0,0,0,0,4023438.8888888885,0,1001944.4444444444,0
FI19,8314155.555555555,2916666.6666666665,556024.9999999999,555555.5555555555,0,13382966.666666666,0,2194444.4444444445
FI1B,2209419.444444444,694444.4444444444,134891.66666666666,55555.555555555555,0,3484386.111111111,0,472874.99999999994
FI1C,6650224.999999999,2361111.111111111,448350.0,138888.88888888888,0,11610436.11111111,0,1641102.7777777778
FI1D,17805277.777777776,6555555.555555554,1253769.4444444443,333333.3333333333,0,25788513.888888888,0,638888.8888888888
