NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
DEA5,929322.2222222221,166666.66666666666,47994.44444444444,83333.33333333333,0,3105883.3333333335,0,412766.6666666666
DEB1,858866.6666666665,166666.66666666666,49261.11111111111,0,0,3440347.222222222,0,512549.99999999994
DEB2,614833.3333333333,138888.88888888888,34697.22222222222,0,0,2104577.7777777775,0,323922.2222222222
DEB3,815586.111111111,166666.66666666666,46713.88888888888,0,0,3681538.888888888,0,626266.6666666666
DEC0,251741.66666666666,55555.555555555555,15019.444444444443,0,0,939877.7777777776,0,89172.22222222222
DED2,729733.3333333331,138888.88888888888,32255.55555555555,638888.8888888889,0,3482411.111111111,0,956666.6666666665
DED4,530083.3333333333,111111.11111111111,25677.777777777774,527777.7777777778,0,2858513.888888889,0,829558.3333333333
DED5,178608.3333333333,27777.777777777777,9005.555555555555,416666.6666666666,0,2040597.2222222222,0,611299.9999999999
DEE0,1304858.3333333333,249999.99999999997,60597.22222222222,0,0,6710291.666666666,0,0
DEF0,455649.99999999994,111111.11111111111,25219.44444444444,583333.3333333333,0,5771700.0,0,2700033.3333333335
DEG0,1702977.7777777775,305555.5555555555,77638.88888888889,1222222.222222222,0,8065230.555555555,0,2228805.5555555555
DK,0,0,0,0,5151163.888888888,0,51388.88888888888,0
DK01,168177.77777777778,0,29411.11111111111,333333.33333333326,0,310055.55555555556,0,126088.88888888888
DK02,356480.5555555555,27777.777777777777,64727.777777777774,1583333.333333333,0,1357580.5555555553,0,519627.77777777775
DK03,587761.111111111,27777.777777777777,103483.33333333331,2611111.111111111,0,1221513.8888888888,0,928091.6666666666
DK04,939605.5555555555,27777.777777777777,144208.3333333333,2638888.888888889,0,1641969.4444444445,0,989397.2222222221
DK05,417266.66666666657,27777.777777777777,70030.55555555555,1611111.111111111,0,816497.2222222222,0,656744.4444444444
EE,0,0,0,0,653709.1666666665,0,0,0
EE00,4144061.1111111105,0,0,1777777.7777777775,0,13656786.111111108,0,986222.2222222221
EL,0,0,0,0,617800.2777777778,0,104999.99999999999,0
EL30,11897.22222222222,0,11411.11111111111,0,0,162780.55555555553,0,47391.666666666664
EL41,15483.333333333332,0,14586.11111111111,0,0,199936.1111111111,0,226691.66666666663
EL42,31936.11111111111,0,28313.888888888887,0,0,256422.22222222222,0,8583.333333333332
EL43,39241.666666666664,0,39516.666666666664,0,0,703486.1111111111,0,144288.88888888888
EL51,168550.0,27777.777777777777,112872.2222222222,55555.555555555555,0,2508058.333333333,0,253975.0
EL52,154191.66666666666,27777.777777777777,124174.99999999999,444444.4444444444,0,4495891.666666667,0,301341.6666666666
