NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
TR51,0.0,0.18000000000000002,10.2744,36.43560000000001,0.0,24.611400000000003,112.0032
TR52,0.0,0.18000000000000002,10.2744,36.446400000000004,0.0,24.611400000000003,110.9808
TR61,0.0,0.18000000000000002,8.6796,36.507600000000004,0.0,24.611400000000003,109.9584
TR62,0.0,0.18000000000000002,8.6796,36.4572,0.0,24.611400000000003,121.15440000000001
TR63,,0.18000000000000002,8.6796,36.4752,0.0,36.917100000000005,121.15440000000001
TR71,0.0,0.18000000000000002,8.6796,36.4392,0.0,24.611400000000003,121.15440000000001
TR72,0.0,0.18000000000000002,8.6796,36.432,0.0,24.611400000000003,119.8044
TR81,0.0,0.18000000000000002,8.6796,36.3852,0.0,24.611400000000003,118.4004
TR82,0.0,0.18000000000000002,0.0,36.414,0.0,24.611400000000003,116.9964
TR83,0.0,0.18000000000000002,9.6012,36.4104,0.0,24.611400000000003,121.6692
TR90,,,,36.4212,0.0,36.917100000000005,108.41040000000001
TRA1,,0.18000000000000002,9.6012,36.406800000000004,0.0,36.917100000000005,120.4092
TRA2,,0.18000000000000002,9.6012,36.43560000000001,0.0,36.917100000000005,119.1456
TRB1,,0.18000000000000002,9.6012,36.43560000000001,0.0,36.917100000000005,120.1428
TRB2,,0.18000000000000002,9.6012,36.4104,0.0,36.917100000000005,119.0052
TRC1,,0.18000000000000002,9.6012,36.464400000000005,0.0,36.917100000000005,117.8712
TRC2,,0.18000000000000002,9.6012,36.43560000000001,0.0,36.917100000000005,117.7488
TRC3,,0.18000000000000002,9.6012,36.43560000000001,0.0,36.917100000000005,116.7264
UA,,,10.1988,,,0.0,
UA09,0.0,,,,,0.0,
UK,,,,,,354.82320000000004,
UKC1,29.779200000000003,4.3434,0.0,46.8756,0.0,34.9566,91.09440000000001
UKC2,29.8044,4.5306,0.0,46.735200000000006,0.0,34.9254,66.1572
UKD1,29.8152,4.5324,0.0,46.2492,0.0,40.5114,101.862
UKD3,29.6928,4.329,0.0,47.062799999999996,0.0,40.680600000000005,104.15880000000001
UKD4,29.808,4.3506,0.0,46.306799999999996,0.0,40.503,101.9952
UKD6,29.696400000000004,4.3218,0.0,45.266400000000004,0.0,40.3824,99.5544
UKD7,29.7864,4.3632,0.0,45.65520000000001,0.0,40.629,105.6564
UKE1,29.826,4.356,0.0,45.820800000000006,0.0,39.415200000000006,104.74560000000001
UKE2,29.808,4.3506,0.0,45.67320000000001,0.0,39.3948,104.9616
UKE3,29.772000000000002,4.3362,0.0,45.918000000000006,0.0,39.4656,103.24080000000001
UKE4,29.8116,4.3506,0.0,45.6768,0.0,39.3984,101.5524
UKF1,29.728800000000003,4.3308,10.2816,46.681200000000004,0.0,37.371,100.2492
UKF2,29.8116,4.3506,10.2816,47.394000000000005,0.0,37.4604,102.3912
UKF3,29.808,4.3506,10.2816,47.4264,0.0,37.4604,100.65599999999999
UKG1,29.8188,4.3542000000000005,10.2816,44.117999999999995,0.0,37.1538,101.43
UKG2,29.808,4.3506,10.2816,44.179199999999994,0.0,37.152,102.9888
UKG3,29.628,4.3056,10.2816,45.45,0.0,37.5342,104.2488
UKH1,29.808,4.5324,10.2816,43.0416,0.0,36.4692,100.1196
UKH2,29.797200000000004,4.3488,10.749600000000001,42.9948,0.0,36.4608,100.75319999999999
UKH3,29.79,4.3452,11.0016,42.2892,0.0,36.442800000000005,99.5508
UKI1,30.3912,,10.1988,18.396,0.0,40.861200000000004,72.4608
UKI2,,,10.1988,24.03,0.0,51.1128,70.956
UKJ1,29.8116,4.3524,0.0,47.4912,0.0,36.230399999999996,98.8056
UKJ2,29.8044,4.5306,0.0,47.3364,0.0,36.222,106.1892
UKJ3,29.800800000000002,4.3488,0.0,47.332800000000006,0.0,36.2184,106.128
UKJ4,29.800800000000002,4.3488,0.0,47.318400000000004,0.0,36.2184,105.9948
UKK1,29.8116,4.5324,0.0,45.169200000000004,0.0,36.636,103.0932
UKK2,29.8044,4.3506,0.0,45.162000000000006,0.0,36.6294,101.67840000000001
UKK3,29.7612,4.338,0.0,44.7768,0.0,36.579,100.09440000000001
UKK4,29.8044,4.3506,10.926,45.144000000000005,0.0,36.6276,102.7656
UKL1,29.8044,4.7106,10.926,42.6708,0.0,38.2128,101.49480000000001
UKL2,29.750400000000003,4.5161999999999995,10.926,42.8364,0.0,38.2842,105.5304
UKM2,29.8152,4.8924,10.926,45.468,0.0,31.784400000000005,61.308
UKM3,29.808,4.7106,0.0,45.4752,0.0,31.7814,85.8888
UKM5,29.8044,4.5306,10.0368,45.453599999999994,0.0,31.779,84.7512
UKM6,0.0,0.0,10.0368,45.5112,0.0,25.030200000000004,86.0724
UKN0,26.3016,4.5306,10.0368,45.6336,0.0,31.130399999999998,86.526
XK,0.0,0.0,10.0368,32.0688,0.2628,79.03542857142857,84.888
